,sentence_id,sentence,target,category,polarity,category_polarity,entailed,start,end
0,1,"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff,service general,positive,service general positive,no,0,0
1,1,"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff,service general,negative,service general negative,yes,77,81
2,1,"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff,service general,neutral,service general neutral,no,0,0
3,8,I was very disappointed with this restaurant .,restaurant,restaurant general,positive,restaurant general positive,no,0,0
4,8,I was very disappointed with this restaurant .,restaurant,restaurant general,negative,restaurant general negative,yes,34,43
5,8,I was very disappointed with this restaurant .,restaurant,restaurant general,neutral,restaurant general neutral,no,0,0
6,9,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,cart attendant,service general,positive,service general positive,no,0,0
7,9,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,cart attendant,service general,negative,service general negative,yes,12,25
8,9,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,cart attendant,service general,neutral,service general neutral,no,0,0
9,10,"Food was okay , nothing great .",Food,food quality,positive,food quality positive,no,0,0
10,10,"Food was okay , nothing great .",Food,food quality,negative,food quality negative,no,0,0
11,10,"Food was okay , nothing great .",Food,food quality,neutral,food quality neutral,yes,0,3
12,11,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,Chow fun,food quality,positive,food quality positive,no,0,0
13,11,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,Chow fun,food quality,negative,food quality negative,yes,0,7
14,11,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,Chow fun,food quality,neutral,food quality neutral,no,0,0
15,11,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,pork shu mai,food quality,positive,food quality positive,no,0,0
16,11,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,pork shu mai,food quality,negative,food quality negative,yes,19,30
17,11,Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,pork shu mai,food quality,neutral,food quality neutral,no,0,0
18,12,I/we will never go back to this place again .,place,restaurant general,positive,restaurant general positive,no,0,0
19,12,I/we will never go back to this place again .,place,restaurant general,negative,restaurant general negative,yes,32,36
20,12,I/we will never go back to this place again .,place,restaurant general,neutral,restaurant general neutral,no,0,0
21,13,"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",Fish,restaurant general,positive,restaurant general positive,yes,36,39
22,13,"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",Fish,restaurant general,negative,restaurant general negative,no,0,0
23,13,"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",Fish,restaurant general,neutral,restaurant general neutral,no,0,0
24,19,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Grilled Chicken special with Edamame Puree,food quality,positive,food quality positive,yes,46,87
25,19,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Grilled Chicken special with Edamame Puree,food quality,negative,food quality negative,no,0,0
26,19,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,Grilled Chicken special with Edamame Puree,food quality,neutral,food quality neutral,no,0,0
27,23,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",spicy tuna roll,food quality,positive,food quality positive,yes,4,18
28,23,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",spicy tuna roll,food quality,negative,food quality negative,no,0,0
29,23,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",spicy tuna roll,food quality,neutral,food quality neutral,no,0,0
30,23,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",rock shrimp tempura,food quality,positive,food quality positive,yes,47,65
31,23,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",rock shrimp tempura,food quality,negative,food quality negative,no,0,0
32,23,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",rock shrimp tempura,food quality,neutral,food quality neutral,no,0,0
33,32,"however , it's the service that leaves a bad taste in my mouth .",service,service general,positive,service general positive,no,0,0
34,32,"however , it's the service that leaves a bad taste in my mouth .",service,service general,negative,service general negative,yes,19,25
35,32,"however , it's the service that leaves a bad taste in my mouth .",service,service general,neutral,service general neutral,no,0,0
36,37,"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",sea urchin,food quality,positive,food quality positive,yes,42,51
37,37,"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",sea urchin,food quality,negative,food quality negative,no,0,0
38,37,"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",sea urchin,food quality,neutral,food quality neutral,no,0,0
39,44,"$6 and there is much tasty food , all of it fresh and continually refilled .",food,food style_options,positive,food style_options positive,yes,27,30
40,44,"$6 and there is much tasty food , all of it fresh and continually refilled .",food,food style_options,negative,food style_options negative,no,0,0
41,44,"$6 and there is much tasty food , all of it fresh and continually refilled .",food,food style_options,neutral,food style_options neutral,no,0,0
42,44,"$6 and there is much tasty food , all of it fresh and continually refilled .",food,food quality,positive,food quality positive,yes,27,30
43,44,"$6 and there is much tasty food , all of it fresh and continually refilled .",food,food quality,negative,food quality negative,no,0,0
44,44,"$6 and there is much tasty food , all of it fresh and continually refilled .",food,food quality,neutral,food quality neutral,no,0,0
45,44,"$6 and there is much tasty food , all of it fresh and continually refilled .",food,food prices,positive,food prices positive,yes,27,30
46,44,"$6 and there is much tasty food , all of it fresh and continually refilled .",food,food prices,negative,food prices negative,no,0,0
47,44,"$6 and there is much tasty food , all of it fresh and continually refilled .",food,food prices,neutral,food prices neutral,no,0,0
48,47,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",somosas,food quality,positive,food quality positive,yes,11,17
49,47,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",somosas,food quality,negative,food quality negative,no,0,0
50,47,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",somosas,food quality,neutral,food quality neutral,no,0,0
51,47,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",chai,food quality,positive,food quality positive,yes,21,24
52,47,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",chai,food quality,negative,food quality negative,no,0,0
