Für das Essen 5 von 5 Sternen- war lecker und reichlich, Preislich etwas angehoben.	FOOD#1	PRICE#-1
Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut).	FOOD#-1	FOOD#-1
Das LOC ist sehr zu empfehlen und war perfekt Medium Rare.	FOOD#1
Der sehr forsche, eher unfreundliche Service rundet das Erlebnis nach unten ab.	SERVICE#-1	GENERAL-IMPRESSION#-1
Ansonsten will ich zugute halten, dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind.	PRICE#1
Wir waren an 2 Abende in dieser netten Location und haben mitnetten Freunden ein hervorragendes Menü gegessen.	FOOD#1	AMBIENCE#1
Das Kartoffelgratin war ebenfalls von trockener Konsistenz.	FOOD#-1
Ich hatte am 10.07.2023 meinen Geburtstag in der RESTAURANT_NAME gefeiert, die Kellner waren sehr aufmerksam und das Essen ein Traum, ich kann es nur weiterempfehlen.	SERVICE#1	FOOD#1	GENERAL-IMPRESSION#1
Unsere Reservierung wurde verplant.	SERVICE#-1
Absolut schlechte Küche!	FOOD#-1
Wir waren heute zum zweiten Mal da, das erste Mal war wirklich traumhaft.	GENERAL-IMPRESSION#1
Man bekommt nicht mal das Essen was bestellt wurde.	SERVICE#-1
Die Gamba waren kalt und kaum aus der Schale zu lösen.	FOOD#-1
Wir sind ganz zufällig dort gelandet und waren begeistert.	GENERAL-IMPRESSION#1
So einen schlechten Service hatten wir noch nicht erlebt.	SERVICE#-1
!Einziger Abzug: Sauberkeit der Toiletten…	AMBIENCE#-1
Klassische Gerichte modern angerichtet.	FOOD#1
Als wir bezahleenn wollten, war sie auch wieder nicht auffindbar, dann bekamen wir endlich die Rechnung und sie war wieder weg, bis wir dann endlich bezahlen konnten.	SERVICE#-1
Der Lachs war gut, auf den Punkt gegrillt, daran gab es nicht auszusetzen!	FOOD#1
Gute Qualität der Speisen und der Empfehlungen.	FOOD#1
Wir haben mehrmalls die Bedienung um Bestellung gebitten, Allerdings haben diese nicht einmal reagiert.	SERVICE#-1
Die Qualität hat nachgelassen.	GENERAL-IMPRESSION#-1
Wir fühlten uns sehr gestört und unwohl.	AMBIENCE#-1
Gerne beim nächsten Besuch in LOC wieder.	GENERAL-IMPRESSION#1
Ein sehr gemütliches italienisches Restaurant mit Flair und fleißigem Personal.	AMBIENCE#1	SERVICE#1
Selbst unter Corona hatte das Restaurant sein Level gehalten.	GENERAL-IMPRESSION#1
Ich habe schon deutlich besser gegessen und nur die Hälfte bezahlt.	PRICE#-1	FOOD#-1
Wer in LOC unterwegs ist, der kann die DAMPFE ohne Bedenken in seine Reiseplanung einbeziehen.	GENERAL-IMPRESSION#1
Das Essen und der Service ist immer ausgezeichnet.	FOOD#1	SERVICE#1
Allerdings mussten wir noch weitere 30 Minuten bis zur Lieferung warten.	SERVICE#-1
Niemand war zuständig.	SERVICE#-1
Leider war das Personal völlig überfordert, denn wir mußten fast 25 Minuten warten, bis jemand eine Bestellung aufnehmen konnte.	SERVICE#-1
Schade.	GENERAL-IMPRESSION#-1
LOC, tolles Essen, und nette Bedienung.	FOOD#1	SERVICE#1
Leider hat die Qualität massiv nachgelassen und der Preis 7,10€ hat sich fast verdoppelt, die haben wohl den Knall nicht gehört und denn rennen einen die Ratten am Stand fast über die Füße ,das geht gar nicht.	FOOD#-1	GENERAL-IMPRESSION#-1
Ein toller Abend mit fantastischem Essen von großartiger Qualität -die Seezunge war ein Traum- und einem super Service!	FOOD#1	FOOD#1	SERVICE#1
Ich bin sehr enttäuscht und komme nicht wieder.	GENERAL-IMPRESSION#-1
Hatte ein sehniges Teil was nicht zu kauen war die anderen Gerichte waren akzeptabel aber nichts besonderes	FOOD#0	FOOD#-1
Essen topp und Service auch, nur einen unmöglichen Kellner dabei, der mit den Tunneln im Ohr, der seine Kollegin ständig laut anpöbelt vor den Gäste, dass sie zu langsam sind und dich bewegen sollen usw.	FOOD#1	SERVICE#1	SERVICE#-1
Ambiente toll , Essen überpreist und das man der Stiefmutter gratuliert ohne was zu hinterfragen ist schon sehr schmerzhaft .. brauch ich nicht nochmal .	AMBIENCE#1	PRICE#-1
Das Lokal war meiner Meinung nach völlig überfüllt, extrem laut, keine Unterhaltung mehr möglich.	AMBIENCE#-1
Schöner Außenbereich	AMBIENCE#1
Einen Punkt Abzug gibt es für mich (wobei das Restaurant nicht wirklich was dafür kann), weil darin sehr sehr laut ist und man seinen Gegenüber schon fast anschreien muss.	AMBIENCE#-1
Ein rundum leckerer Abend.	FOOD#1
Das Steak im Hauptgang war bei beiden sehr gut.	FOOD#1
Kommen immer gerne wieder nur zu empfehlen:)	GENERAL-IMPRESSION#1
Der Service ist sehr zuvorkommend und überaus freundlich.	SERVICE#1
Service war freundlich und schnell.	SERVICE#1
Muss nicht sein, kann aber.	GENERAL-IMPRESSION#0
Sehr schöne Atmosphäre, guter Hauswein, freundliches Personal, haben nur was getrunken, daher kann ich Essen nicht beurteilen.	AMBIENCE#1	FOOD#1	SERVICE#1
Die Kellner sind arrogant und respektlos!	SERVICE#-1
Espresso geliefert ohne Milch und Zucker.	FOOD#-1
Essen war mittelmäßig, Preise Düsseldorfer Niveau	FOOD#0	PRICE#0
Nie wieder.	GENERAL-IMPRESSION#-1
Aber das Saure Lüngerl (eine der Spezialitäten des Hauses) war so sauer, dass es leider nicht essbar war, außerdem war es lauwarm.	FOOD#-1
Glühwein wird aus dreckigen Thermoskannen für 27 Euro an der SB Theke serviert.	FOOD#-1
Kompliment an das Team in der Küche.	SERVICE#1
Ich war mit meiner Tochter dort und haben einen sehr schönen Abend verbracht.	GENERAL-IMPRESSION#1
Sehr aufmerksame Mitarbeiter und das Essen wirklich in sehr guter Qualität.	SERVICE#1	FOOD#1
Hausgemachte Pommes sehr gut.	FOOD#1
Eingekehrt, Sauerbraten bestellt, extrem humorvoller Köbes, Spaß gehabt, geschmackvolle und große Portionen bekommen.	SERVICE#1	FOOD#1
Essen war wie immer top, jedoch bei den LOC habe ich den Ziegenkäsegeschmack des Ziegenkäses vermisst.	FOOD#1	FOOD#-1
Ausser der ersten Getränke war eine weitere Getränkebestellung quasi unmöglich da kein Servicepersonal verfügbar.	SERVICE#-1
