sentence_id	yes_no	aspect_sentiment	sentence	ner_tags
2	0	food positive	Der Burger total durchgebraten und trocken .	O O O O O O O
2	1	food negative	Der Burger total durchgebraten und trocken .	O B O O O O O
2	0	food neutral	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	service positive	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	service negative	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	service neutral	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	price positive	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	price negative	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	price neutral	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	general-impression positive	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	general-impression negative	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	general-impression neutral	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	ambience positive	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	ambience negative	Der Burger total durchgebraten und trocken .	O O O O O O O
2	0	ambience neutral	Der Burger total durchgebraten und trocken .	O O O O O O O
6	0	food positive	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	food negative	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	food neutral	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	service positive	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	1	service negative	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O B O O O O O O O O O
6	0	service neutral	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	price positive	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	price negative	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	price neutral	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	general-impression positive	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	general-impression negative	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	general-impression neutral	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	ambience positive	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	ambience negative	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
6	0	ambience neutral	Der Kellner läuft planlos durch die Gegend und wirkt überfordert .	O O O O O O O O O O O
9	1	food positive	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O B O O O O O O O O O O O O O O
9	0	food negative	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	food neutral	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	service positive	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	service negative	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	service neutral	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	price positive	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	1	price negative	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	price neutral	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	general-impression positive	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	general-impression negative	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	general-impression neutral	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	ambience positive	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	ambience negative	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
9	0	ambience neutral	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	O O O O O O O O O O O O O O O O O
34	0	food positive	Mein Rollo war so ungewürzt unsere Freunde ließen eine Pfannen - Spezialität des Hauses nach der Hälfte stehen sonst sei dieses Gericht wirklich gut .	O O O O O O O O O O O O O O O O O O O O O O O O O
34	1	food negative	Mein Rollo war so ungewürzt unsere Freunde ließen eine Pfannen - Spezialität des Hauses nach der Hälfte stehen sonst sei dieses Gericht wirklich gut .	O B O O O O O O O B I I O O O O O O O O O O O O O
34	0	food neutral	Mein Rollo war so ungewürzt unsere Freunde ließen eine Pfannen - Spezialität des Hauses nach der Hälfte stehen sonst sei dieses Gericht wirklich gut .	O O O O O O O O O O O O O O O O O O O O O O O O O
34	0	service positive	Mein Rollo war so ungewürzt unsere Freunde ließen eine Pfannen - Spezialität des Hauses nach der Hälfte stehen sonst sei dieses Gericht wirklich gut .	O O O O O O O O O O O O O O O O O O O O O O O O O
