sentence_id	sentence	target	category	polarity	category_polarity	entailed	start	end
9	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	Essen	food	positive	food positive	yes	3	4
9	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	Essen	food	negative	food negative	no	0	0
9	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	Essen	food	neutral	food neutral	no	0	0
9	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	NULL	price	positive	price positive	no	0	0
9	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	NULL	price	negative	price negative	yes	0	0
9	Für das Essen 5 von 5 Sternen - war lecker und reichlich , Preislich etwas angehoben .	NULL	price	neutral	price neutral	no	0	0
34	Mein Rollo war so ungewürzt unsere Freunde ließen eine Pfannen - Spezialität des Hauses nach der Hälfte stehen sonst sei dieses Gericht wirklich gut .	Rollo	food	positive	food positive	no	0	0
34	Mein Rollo war so ungewürzt unsere Freunde ließen eine Pfannen - Spezialität des Hauses nach der Hälfte stehen sonst sei dieses Gericht wirklich gut .	Rollo	food	negative	food negative	yes	2	3
34	Mein Rollo war so ungewürzt unsere Freunde ließen eine Pfannen - Spezialität des Hauses nach der Hälfte stehen sonst sei dieses Gericht wirklich gut .	Rollo	food	neutral	food neutral	no	0	0
34	Mein Rollo war so ungewürzt unsere Freunde ließen eine Pfannen - Spezialität des Hauses nach der Hälfte stehen sonst sei dieses Gericht wirklich gut .	Pfannen - Spezialität	food	positive	food positive	no	0	0
34	Mein Rollo war so ungewürzt unsere Freunde ließen eine Pfannen - Spezialität des Hauses nach der Hälfte stehen sonst sei dieses Gericht wirklich gut .	Pfannen - Spezialität	food	negative	food negative	yes	10	13
34	Mein Rollo war so ungewürzt unsere Freunde ließen eine Pfannen - Spezialität des Hauses nach der Hälfte stehen sonst sei dieses Gericht wirklich gut .	Pfannen - Spezialität	food	neutral	food neutral	no	0	0
88	Das Kartoffelgratin war ebenfalls von trockener Konsistenz .	Kartoffelgratin	food	positive	food positive	no	0	0
88	Das Kartoffelgratin war ebenfalls von trockener Konsistenz .	Kartoffelgratin	food	negative	food negative	yes	2	3
88	Das Kartoffelgratin war ebenfalls von trockener Konsistenz .	Kartoffelgratin	food	neutral	food neutral	no	0	0
92	Ich hatte am 10 . 07 . 2023 meinen Geburtstag in der RESTAURANTNAME gefeiert , die Kellner waren sehr aufmerksam und das Essen ein Traum , ich kann es nur weiterempfehlen .	Kellner	service	positive	service positive	yes	17	18
92	Ich hatte am 10 . 07 . 2023 meinen Geburtstag in der RESTAURANTNAME gefeiert , die Kellner waren sehr aufmerksam und das Essen ein Traum , ich kann es nur weiterempfehlen .	Kellner	service	negative	service negative	no	0	0
92	Ich hatte am 10 . 07 . 2023 meinen Geburtstag in der RESTAURANTNAME gefeiert , die Kellner waren sehr aufmerksam und das Essen ein Traum , ich kann es nur weiterempfehlen .	Kellner	service	neutral	service neutral	no	0	0
92	Ich hatte am 10 . 07 . 2023 meinen Geburtstag in der RESTAURANTNAME gefeiert , die Kellner waren sehr aufmerksam und das Essen ein Traum , ich kann es nur weiterempfehlen .	Essen	food	positive	food positive	yes	23	24
92	Ich hatte am 10 . 07 . 2023 meinen Geburtstag in der RESTAURANTNAME gefeiert , die Kellner waren sehr aufmerksam und das Essen ein Traum , ich kann es nur weiterempfehlen .	Essen	food	negative	food negative	no	0	0
92	Ich hatte am 10 . 07 . 2023 meinen Geburtstag in der RESTAURANTNAME gefeiert , die Kellner waren sehr aufmerksam und das Essen ein Traum , ich kann es nur weiterempfehlen .	Essen	food	neutral	food neutral	no	0	0
92	Ich hatte am 10 . 07 . 2023 meinen Geburtstag in der RESTAURANTNAME gefeiert , die Kellner waren sehr aufmerksam und das Essen ein Traum , ich kann es nur weiterempfehlen .	NULL	general-impression	positive	general-impression positive	yes	0	0
92	Ich hatte am 10 . 07 . 2023 meinen Geburtstag in der RESTAURANTNAME gefeiert , die Kellner waren sehr aufmerksam und das Essen ein Traum , ich kann es nur weiterempfehlen .	NULL	general-impression	negative	general-impression negative	no	0	0
92	Ich hatte am 10 . 07 . 2023 meinen Geburtstag in der RESTAURANTNAME gefeiert , die Kellner waren sehr aufmerksam und das Essen ein Traum , ich kann es nur weiterempfehlen .	NULL	general-impression	neutral	general-impression neutral	no	0	0
132	Unsere Reservierung wurde verplant .	Reservierung	service	positive	service positive	no	0	0
132	Unsere Reservierung wurde verplant .	Reservierung	service	negative	service negative	yes	2	3
132	Unsere Reservierung wurde verplant .	Reservierung	service	neutral	service neutral	no	0	0
180	Man bekommt nicht mal das Essen was bestellt wurde .	NULL	service	positive	service positive	no	0	0
180	Man bekommt nicht mal das Essen was bestellt wurde .	NULL	service	negative	service negative	yes	0	0
180	Man bekommt nicht mal das Essen was bestellt wurde .	NULL	service	neutral	service neutral	no	0	0
214	Die Gamba waren kalt und kaum aus der Schale zu lösen .	Gamba	food	positive	food positive	no	0	0
214	Die Gamba waren kalt und kaum aus der Schale zu lösen .	Gamba	food	negative	food negative	yes	2	3
214	Die Gamba waren kalt und kaum aus der Schale zu lösen .	Gamba	food	neutral	food neutral	no	0	0
222	Wir sind ganz zufällig dort gelandet und waren begeistert .	NULL	general-impression	positive	general-impression positive	yes	0	0
222	Wir sind ganz zufällig dort gelandet und waren begeistert .	NULL	general-impression	negative	general-impression negative	no	0	0
222	Wir sind ganz zufällig dort gelandet und waren begeistert .	NULL	general-impression	neutral	general-impression neutral	no	0	0
256	So einen schlechten Service hatten wir noch nicht erlebt .	Service	service	positive	service positive	no	0	0
256	So einen schlechten Service hatten wir noch nicht erlebt .	Service	service	negative	service negative	yes	4	5
256	So einen schlechten Service hatten wir noch nicht erlebt .	Service	service	neutral	service neutral	no	0	0
277	! Einziger Abzug : Sauberkeit der Toiletten	Sauberkeit der Toiletten	ambience	positive	ambience positive	no	0	0
277	! Einziger Abzug : Sauberkeit der Toiletten	Sauberkeit der Toiletten	ambience	negative	ambience negative	yes	5	8
277	! Einziger Abzug : Sauberkeit der Toiletten	Sauberkeit der Toiletten	ambience	neutral	ambience neutral	no	0	0
297	Klassische Gerichte modern angerichtet .	Gerichte	food	positive	food positive	yes	2	3
297	Klassische Gerichte modern angerichtet .	Gerichte	food	negative	food negative	no	0	0
297	Klassische Gerichte modern angerichtet .	Gerichte	food	neutral	food neutral	no	0	0
