,sentence_id,sentence,target,category,polarity,category_polarity,entailed,start,end
0,38,The sushi seemed pretty fresh and was adequately proportioned .,sushi,food quality,positive,food quality positive,yes,4,8
1,38,The sushi seemed pretty fresh and was adequately proportioned .,sushi,food quality,negative,food quality negative,no,0,0
2,38,The sushi seemed pretty fresh and was adequately proportioned .,sushi,food quality,neutral,food quality neutral,no,0,0
3,38,The sushi seemed pretty fresh and was adequately proportioned .,sushi,food style_options,positive,food style_options positive,yes,4,8
4,38,The sushi seemed pretty fresh and was adequately proportioned .,sushi,food style_options,negative,food style_options negative,no,0,0
5,38,The sushi seemed pretty fresh and was adequately proportioned .,sushi,food style_options,neutral,food style_options neutral,no,0,0
6,39,The rice to fish ration was also good--they didn't try to overpack the rice .,rice to fish ration,food style_options,positive,food style_options positive,yes,4,22
7,39,The rice to fish ration was also good--they didn't try to overpack the rice .,rice to fish ration,food style_options,negative,food style_options negative,no,0,0
8,39,The rice to fish ration was also good--they didn't try to overpack the rice .,rice to fish ration,food style_options,neutral,food style_options neutral,no,0,0
9,74,"Everytime I decide to try another place on the UES , I get angry that I didn't just go to Zucchero Pomodori .",Zucchero Pomodori,restaurant general,positive,restaurant general positive,yes,90,106
10,74,"Everytime I decide to try another place on the UES , I get angry that I didn't just go to Zucchero Pomodori .",Zucchero Pomodori,restaurant general,negative,restaurant general negative,no,0,0
11,74,"Everytime I decide to try another place on the UES , I get angry that I didn't just go to Zucchero Pomodori .",Zucchero Pomodori,restaurant general,neutral,restaurant general neutral,no,0,0
12,98,Located at the end of a magnificent block .,block,location general,positive,location general positive,yes,36,40
13,98,Located at the end of a magnificent block .,block,location general,negative,location general negative,no,0,0
14,98,Located at the end of a magnificent block .,block,location general,neutral,location general neutral,no,0,0
15,117,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",crust,food quality,positive,food quality positive,yes,77,81
16,117,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",crust,food quality,negative,food quality negative,no,0,0
17,117,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",crust,food quality,neutral,food quality neutral,no,0,0
18,117,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",pizza,food quality,positive,food quality positive,yes,17,21
19,117,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",pizza,food quality,negative,food quality negative,no,0,0
20,117,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",pizza,food quality,neutral,food quality neutral,no,0,0
21,120,I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,setting,ambience general,positive,ambience general positive,yes,76,82
22,120,I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,setting,ambience general,negative,ambience general negative,no,0,0
