	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.5	0.4286	0.4615	0.3	10.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
AMBIENCE:POSITIVE	0.8125	0.65	0.7222	0.5652	23.0
FOOD:NEGATIVE	0.875	0.8485	0.8615	0.7568	37.0
FOOD:NEUTRAL	0.4	0.4444	0.4211	0.2667	15.0
FOOD:POSITIVE	0.9348	0.8776	0.9053	0.8269	52.0
PRICE:NEGATIVE	1.0	0.7	0.8235	0.7	10.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
PRICE:POSITIVE	0.6667	1.0	0.8	0.6667	3.0
GENERAL-IMPRESSION:NEGATIVE	0.5926	0.8889	0.7111	0.5517	29.0
GENERAL-IMPRESSION:NEUTRAL	0.25	1.0	0.4	0.25	4.0
GENERAL-IMPRESSION:POSITIVE	0.5833	0.9545	0.7241	0.5676	37.0
SERVICE:NEGATIVE	0.9048	0.7308	0.8085	0.6786	28.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE:POSITIVE	0.9643	0.8182	0.8852	0.7941	34.0
Micro-AVG	0.7731	0.7965	0.7846	0.6456	285.0
Macro-AVG	0.5656	0.6228	0.5683		285
