,sentence_id,sentence,target,category,polarity,category_polarity,entailed,start,end
0,0,Gemütliche Atmung und rustikale Deko an Wänden .,Atmung,ambience,positive,ambience positive,yes,11,16
1,0,Gemütliche Atmung und rustikale Deko an Wänden .,Atmung,ambience,negative,ambience negative,no,0,0
2,0,Gemütliche Atmung und rustikale Deko an Wänden .,Atmung,ambience,neutral,ambience neutral,no,0,0
3,0,Gemütliche Atmung und rustikale Deko an Wänden .,Deko an Wänden,ambience,positive,ambience positive,yes,32,45
4,0,Gemütliche Atmung und rustikale Deko an Wänden .,Deko an Wänden,ambience,negative,ambience negative,no,0,0
5,0,Gemütliche Atmung und rustikale Deko an Wänden .,Deko an Wänden,ambience,neutral,ambience neutral,no,0,0
6,11,Im Vergleich zum Personal im Schlüssel und LOC bleibt das Uerige aber doch zurück .,Uerige,general-impression,positive,general-impression positive,no,0,0
7,11,Im Vergleich zum Personal im Schlüssel und LOC bleibt das Uerige aber doch zurück .,Uerige,general-impression,negative,general-impression negative,yes,58,63
8,11,Im Vergleich zum Personal im Schlüssel und LOC bleibt das Uerige aber doch zurück .,Uerige,general-impression,neutral,general-impression neutral,no,0,0
9,17,Speise- und Getränkekarten waren heute Mangelware .,Speise- und Getränkekarten,service,positive,service positive,no,0,0
10,17,Speise- und Getränkekarten waren heute Mangelware .,Speise- und Getränkekarten,service,negative,service negative,yes,0,25
11,17,Speise- und Getränkekarten waren heute Mangelware .,Speise- und Getränkekarten,service,neutral,service neutral,no,0,0
12,27,Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut) .,Rollo,food,positive,food positive,no,0,0
13,27,Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut) .,Rollo,food,negative,food negative,yes,5,9
14,27,Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut) .,Rollo,food,neutral,food neutral,no,0,0
15,27,Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut) .,Pfannen-Spezialität,food,positive,food positive,no,0,0
16,27,Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut) .,Pfannen-Spezialität,food,negative,food negative,yes,57,75
17,27,Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut) .,Pfannen-Spezialität,food,neutral,food neutral,no,0,0
18,32,"Positiv zu bewerten ist das Personal , welches uns am Eingang sogar ein kleines Bier brachte , weil noch kein Platz frei war .",Personal,service,positive,service positive,yes,28,35
19,32,"Positiv zu bewerten ist das Personal , welches uns am Eingang sogar ein kleines Bier brachte , weil noch kein Platz frei war .",Personal,service,negative,service negative,no,0,0
20,32,"Positiv zu bewerten ist das Personal , welches uns am Eingang sogar ein kleines Bier brachte , weil noch kein Platz frei war .",Personal,service,neutral,service neutral,no,0,0
21,43,Die Platte mit Sushi hervorragend !,Platte mit Sushi,food,positive,food positive,yes,4,19
22,43,Die Platte mit Sushi hervorragend !,Platte mit Sushi,food,negative,food negative,no,0,0
23,43,Die Platte mit Sushi hervorragend !,Platte mit Sushi,food,neutral,food neutral,no,0,0
24,47,Wir haben bei dem herrlichen Wetter draußen gesessen .,Wetter,ambience,positive,ambience positive,yes,29,34
25,47,Wir haben bei dem herrlichen Wetter draußen gesessen .,Wetter,ambience,negative,ambience negative,no,0,0
26,47,Wir haben bei dem herrlichen Wetter draußen gesessen .,Wetter,ambience,neutral,ambience neutral,no,0,0
27,59,Das Kartoffelgratin war ebenfalls von trockener Konsistenz .,Kartoffelgratin,food,positive,food positive,no,0,0
28,59,Das Kartoffelgratin war ebenfalls von trockener Konsistenz .,Kartoffelgratin,food,negative,food negative,yes,4,18
29,59,Das Kartoffelgratin war ebenfalls von trockener Konsistenz .,Kartoffelgratin,food,neutral,food neutral,no,0,0
30,73,Wir wurden bedient von dem netten Fräulein Susanna .,Susanna,service,positive,service positive,yes,43,49
31,73,Wir wurden bedient von dem netten Fräulein Susanna .,Susanna,service,negative,service negative,no,0,0
32,73,Wir wurden bedient von dem netten Fräulein Susanna .,Susanna,service,neutral,service neutral,no,0,0
33,117,"Ja , das Lokal ist sehr gut gelegen .",Lokal,ambience,positive,ambience positive,yes,9,13
34,117,"Ja , das Lokal ist sehr gut gelegen .",Lokal,ambience,negative,ambience negative,no,0,0
35,117,"Ja , das Lokal ist sehr gut gelegen .",Lokal,ambience,neutral,ambience neutral,no,0,0
36,123,Sowohl Hähnchenfleisch als auch Garnelen waren komplett übergart und trocken .,Garnelen,food,positive,food positive,no,0,0
