	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4	0.5455	0.4615	0.3	80.0
DRINKS#PRICES	0.5	0.3333	0.4	0.25	4.0
DRINKS#QUALITY	0.4545	0.5556	0.5	0.3333	15.0
DRINKS#STYLE_OPTIONS	0.5	0.8333	0.625	0.4545	11.0
FOOD#PRICES	0.1	0.0667	0.08	0.0417	24.0
FOOD#QUALITY	0.3991	0.7266	0.5152	0.347	268.0
FOOD#STYLE_OPTIONS	0.0	0.0	0.0	0.0	24.0
LOCATION#GENERAL	0.375	0.6	0.4615	0.3	10.0
RESTAURANT#GENERAL	0.4037	0.6197	0.4889	0.3235	136.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	21.0
RESTAURANT#PRICES	0.2667	0.2857	0.2759	0.16	25.0
SERVICE#GENERAL	0.5556	0.5063	0.5298	0.3604	111.0
Micro-AVG	0.412	0.5301	0.4636	0.3018	729.0
Macro-AVG	0.3296	0.4227	0.3615		729
