	Model 1	Model 2	Mean Model 1	Mean Model 2	Model 1 CI Lower	Model 1 CI Upper	Model 2 CI Lower	Model 2 CI Upper	CI Overlap	U Statistic (Model1 > Model2)	P-Value (Model1 > Model2)	Corrected P-Value (Model1 > Model2)	Significant (Model1 > Model2)
0	0.0003_32_32	0.0003_32_64	0.7960267	0.7245940000000001	0.7366	0.8469175	0.6649975	0.782015	True	950292.5	0.0	0.0	True
1	0.0003_32_32	0.0003_8_16	0.7960267	0.7895462999999999	0.7366	0.8469175	0.7398875	0.8426125	True	575699.5	0.0	0.0	True
2	0.0003_32_32	0.0003_8_8	0.7960267	0.8138656	0.7366	0.8469175	0.7612975	0.8641	True	331306.5	0.0	0.0	True
3	0.0003_32_32	3e-05_32_32	0.7960267	0.7839199000000001	0.7366	0.8469175	0.7305975	0.83621	True	625194.0	0.0	0.0	True
4	0.0003_32_32	3e-05_32_64	0.7960267	0.8096692	0.7366	0.8469175	0.7607775	0.855915	True	368435.5	0.0	0.0	True
5	0.0003_32_32	3e-05_8_16	0.7960267	0.7895434	0.7366	0.8469175	0.7353900000000001	0.839705	True	571413.5	0.0	0.0	True
6	0.0003_32_32	3e-05_8_8	0.7960267	0.767187	0.7366	0.8469175	0.71248	0.8212075	True	759417.0	0.0	0.0	True
7	0.0003_32_64	0.0003_8_16	0.7245940000000001	0.7895462999999999	0.6649975	0.782015	0.7398875	0.8426125	True	53065.5	0.0	0.0	True
8	0.0003_32_64	0.0003_8_8	0.7245940000000001	0.8138656	0.6649975	0.782015	0.7612975	0.8641	True	14541.5	0.0	0.0	True
9	0.0003_32_64	3e-05_32_32	0.7245940000000001	0.7839199000000001	0.6649975	0.782015	0.7305975	0.83621	True	75564.0	0.0	0.0	True
10	0.0003_32_64	3e-05_32_64	0.7245940000000001	0.8096692	0.6649975	0.782015	0.7607775	0.855915	True	14607.0	0.0	0.0	True
11	0.0003_32_64	3e-05_8_16	0.7245940000000001	0.7895434	0.6649975	0.782015	0.7353900000000001	0.839705	True	57859.5	0.0	0.0	True
12	0.0003_32_64	3e-05_8_8	0.7245940000000001	0.767187	0.6649975	0.782015	0.71248	0.8212075	True	160595.0	0.0	0.0	True
13	0.0003_8_16	0.0003_8_8	0.7895462999999999	0.8138656	0.7398875	0.8426125	0.7612975	0.8641	True	255916.5	0.0	0.0	True
14	0.0003_8_16	3e-05_32_32	0.7895462999999999	0.7839199000000001	0.7398875	0.8426125	0.7305975	0.83621	True	556857.5	1.1e-05	3.3e-05	True
15	0.0003_8_16	3e-05_32_64	0.7895462999999999	0.8096692	0.7398875	0.8426125	0.7607775	0.855915	True	283859.5	0.0	0.0	True
16	0.0003_8_16	3e-05_8_16	0.7895462999999999	0.7895434	0.7398875	0.8426125	0.7353900000000001	0.839705	True	496029.0	0.75848	0.75848	False
17	0.0003_8_16	3e-05_8_8	0.7895462999999999	0.767187	0.7398875	0.8426125	0.71248	0.8212075	True	714680.5	0.0	0.0	True
18	0.0003_8_8	3e-05_32_32	0.8138656	0.7839199000000001	0.7612975	0.8641	0.7305975	0.83621	True	782811.0	0.0	0.0	True
19	0.0003_8_8	3e-05_32_64	0.8138656	0.8096692	0.7612975	0.8641	0.7607775	0.855915	True	549449.5	0.000128	0.000256	True
20	0.0003_8_8	3e-05_8_16	0.8138656	0.7895434	0.7612975	0.8641	0.7353900000000001	0.839705	True	737998.5	0.0	0.0	True
21	0.0003_8_8	3e-05_8_8	0.8138656	0.767187	0.7612975	0.8641	0.71248	0.8212075	True	878982.0	0.0	0.0	True
22	3e-05_32_32	3e-05_32_64	0.7839199000000001	0.8096692	0.7305975	0.83621	0.7607775	0.855915	True	240195.5	0.0	0.0	True
23	3e-05_32_32	3e-05_8_16	0.7839199000000001	0.7895434	0.7305975	0.83621	0.7353900000000001	0.839705	True	440931.5	5e-06	2e-05	True
24	3e-05_32_32	3e-05_8_8	0.7839199000000001	0.767187	0.7305975	0.83621	0.71248	0.8212075	True	662053.0	0.0	0.0	True
25	3e-05_32_64	3e-05_8_16	0.8096692	0.7895434	0.7607775	0.855915	0.7353900000000001	0.839705	True	708975.5	0.0	0.0	True
26	3e-05_32_64	3e-05_8_8	0.8096692	0.767187	0.7607775	0.855915	0.71248	0.8212075	True	867895.5	0.0	0.0	True
27	3e-05_8_16	3e-05_8_8	0.7895434	0.767187	0.7353900000000001	0.839705	0.71248	0.8212075	True	712695.0	0.0	0.0	True
