id,raw_text,aspectTerms
9,"Für das Essen 5 von 5 Sternen- war lecker und reichlich, Preislich etwas angehoben.","[{'term': 'Essen', 'polarity': 'positive'}, {'term': 'noaspectterm', 'polarity': 'negative'}]"
34,Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut).,"[{'term': 'Rollo', 'polarity': 'negative'}, {'term': 'Pfannen-Spezialität', 'polarity': 'negative'}]"
88,Das Kartoffelgratin war ebenfalls von trockener Konsistenz.,"[{'term': 'Kartoffelgratin', 'polarity': 'negative'}]"
92,"Ich hatte am 10.07.2023 meinen Geburtstag in der RESTAURANT_NAME gefeiert, die Kellner waren sehr aufmerksam und das Essen ein Traum, ich kann es nur weiterempfehlen.","[{'term': 'Kellner', 'polarity': 'positive'}, {'term': 'Essen', 'polarity': 'positive'}, {'term': 'noaspectterm', 'polarity': 'positive'}]"
132,Unsere Reservierung wurde verplant.,"[{'term': 'Reservierung', 'polarity': 'negative'}]"
180,Man bekommt nicht mal das Essen was bestellt wurde.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
214,Die Gamba waren kalt und kaum aus der Schale zu lösen.,"[{'term': 'Gamba', 'polarity': 'negative'}]"
222,Wir sind ganz zufällig dort gelandet und waren begeistert.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
256,So einen schlechten Service hatten wir noch nicht erlebt.,"[{'term': 'Service', 'polarity': 'negative'}]"
277,!Einziger Abzug: Sauberkeit der Toiletten…,"[{'term': 'Sauberkeit der Toiletten', 'polarity': 'negative'}]"
297,Klassische Gerichte modern angerichtet.,"[{'term': 'Gerichte', 'polarity': 'positive'}]"
303,"Als wir bezahleenn wollten, war sie auch wieder nicht auffindbar, dann bekamen wir endlich die Rechnung und sie war wieder weg, bis wir dann endlich bezahlen konnten.","[{'term': 'noaspectterm', 'polarity': 'negative'}]"
335,"Der Lachs war gut, auf den Punkt gegrillt, daran gab es nicht auszusetzen!","[{'term': 'Lachs', 'polarity': 'positive'}]"
400,Wir fühlten uns sehr gestört und unwohl.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
416,Ein sehr gemütliches italienisches Restaurant mit Flair und fleißigem Personal.,"[{'term': 'Restaurant', 'polarity': 'positive'}, {'term': 'Personal', 'polarity': 'positive'}]"
445,Ich habe schon deutlich besser gegessen und nur die Hälfte bezahlt.,"[{'term': 'noaspectterm', 'polarity': 'negative'}, {'term': 'noaspectterm', 'polarity': 'negative'}]"
490,Allerdings mussten wir noch weitere 30 Minuten bis zur Lieferung warten.,"[{'term': 'Lieferung', 'polarity': 'negative'}]"
512,Niemand war zuständig.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
568,Schade.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
576,"LOC, tolles Essen, und nette Bedienung.","[{'term': 'Essen', 'polarity': 'positive'}, {'term': 'Bedienung', 'polarity': 'positive'}]"
578,"Leider hat die Qualität massiv nachgelassen und der Preis 7,10€ hat sich fast verdoppelt, die haben wohl den Knall nicht gehört und denn rennen einen die Ratten am Stand fast über die Füße ,das geht gar nicht.","[{'term': 'Preis', 'polarity': 'negative'}, {'term': 'noaspectterm', 'polarity': 'negative'}]"
602,Ich bin sehr enttäuscht und komme nicht wieder.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
612,Hatte ein sehniges Teil was nicht zu kauen war die anderen Gerichte waren akzeptabel aber nichts besonderes,"[{'term': 'Gerichte', 'polarity': 'neutral'}, {'term': 'noaspectterm', 'polarity': 'negative'}]"
621,"Ambiente toll , Essen überpreist und das man der Stiefmutter gratuliert ohne was zu hinterfragen ist schon sehr schmerzhaft .. brauch ich nicht nochmal .","[{'term': 'Ambiente', 'polarity': 'positive'}, {'term': 'Essen', 'polarity': 'negative'}]"
654,Ein rundum leckerer Abend.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
667,Kommen immer gerne wieder nur zu empfehlen:),"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
673,Der Service ist sehr zuvorkommend und überaus freundlich.,"[{'term': 'Service', 'polarity': 'positive'}]"
684,"Muss nicht sein, kann aber.","[{'term': 'noaspectterm', 'polarity': 'neutral'}]"
699,"Sehr schöne Atmosphäre, guter Hauswein, freundliches Personal, haben nur was getrunken, daher kann ich Essen nicht beurteilen.","[{'term': 'Atmosphäre', 'polarity': 'positive'}, {'term': 'Hauswein', 'polarity': 'positive'}, {'term': 'Personal', 'polarity': 'positive'}]"
724,Die Kellner sind arrogant und respektlos!,"[{'term': 'Kellner', 'polarity': 'negative'}]"
727,"Essen war mittelmäßig, Preise Düsseldorfer Niveau","[{'term': 'Essen', 'polarity': 'neutral'}, {'term': 'Preise', 'polarity': 'neutral'}]"
738,Nie wieder.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
784,Kompliment an das Team in der Küche.,"[{'term': 'Team in der Küche', 'polarity': 'positive'}]"
793,Sehr aufmerksame Mitarbeiter und das Essen wirklich in sehr guter Qualität.,"[{'term': 'Mitarbeiter', 'polarity': 'positive'}, {'term': 'Essen', 'polarity': 'positive'}]"
823,"Eingekehrt, Sauerbraten bestellt, extrem humorvoller Köbes, Spaß gehabt, geschmackvolle und große Portionen bekommen.","[{'term': 'Köbes', 'polarity': 'positive'}, {'term': 'Portionen', 'polarity': 'positive'}]"
859,"Essen war wie immer top, jedoch bei den LOC habe ich den Ziegenkäsegeschmack des Ziegenkäses vermisst.","[{'term': 'Essen', 'polarity': 'positive'}, {'term': 'LOC', 'polarity': 'negative'}]"
925,Super leckeres Essen mit einer spannenden Auswahl an Gerichten.,"[{'term': 'Essen', 'polarity': 'positive'}, {'term': 'Gerichten', 'polarity': 'positive'}]"
933,Die Toiletten waren sehr sauber.,"[{'term': 'Toiletten', 'polarity': 'positive'}]"
963,Kommen immer gerne wieder hier her und das schon eine sehr sehr lange Zeit und haben bis heute keinen Tag bereut den wir hier waren.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
988,"Und heute -September 2023 haben wir auch gleiches bestellt,ist volle Enttäuschung -die Bratwürste sind um 2-3 cm kürzer geworden und Kartoffelsalat-wie Wassersuppe auch geschmacklos.","[{'term': 'Bratwürste', 'polarity': 'negative'}, {'term': 'Kartoffelsalat', 'polarity': 'negative'}, {'term': 'Wassersuppe', 'polarity': 'negative'}]"
1008,"Zudem war alles sehr überteuert, da hätten wir wenigstens etwas mehr Entgegenkommen erwartet.","[{'term': 'noaspectterm', 'polarity': 'negative'}, {'term': 'noaspectterm', 'polarity': 'negative'}]"
1013,ein wirklich tolles Restaurant.,"[{'term': 'Restaurant', 'polarity': 'positive'}]"
1024,"Die Desserts waren mir nicht möglich zu essen, sahen dafür umso besser aus - bei diesen hätte ich sehr gerne zugeschlagen!","[{'term': 'Desserts', 'polarity': 'positive'}]"
1028,Macht weiter so.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
1030,"Alles in allem: absolute Empfehlung, gerne wieder.","[{'term': 'noaspectterm', 'polarity': 'positive'}]"
1033,Zubereitung auf den Punkt und ansprechend serviert.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
1056,"Ach ne, Pampe war das seltsame Sauerkraut.","[{'term': 'Sauerkraut', 'polarity': 'negative'}]"
1057,"LOC Bedienung, lange Wartezeit am Tisch.","[{'term': 'Wartezeit', 'polarity': 'negative'}]"
1059,Es gab einen Gruß aus der Küche vorweg und dann ein zartes Steak zum Fairen Preis.,"[{'term': 'Steak', 'polarity': 'positive'}, {'term': 'Steak', 'polarity': 'positive'}]"
1062,Riesige Räume mit schlechter Belüftung.,"[{'term': 'Belüftung', 'polarity': 'negative'}]"
1067,Hätten wir mehr Zeit gehabt wären die Spätzle und der Ziegenkäse mit Salat sofort wieder in die Küche zurückgegangen.,"[{'term': 'Spätzle', 'polarity': 'negative'}, {'term': 'Ziegenkäse mit Salat', 'polarity': 'negative'}]"
1143,"Es lag nicht an den einzelnen Kellnern, sondern an der (offensichtlich gewollten) Unterbesetzung im Service.","[{'term': 'Unterbesetzung', 'polarity': 'negative'}]"
1183,Trotzdem ist es immer einen Besuch wert,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
1241,"Problematisches P/L-Verhältnis bei den 6 ""fine de claires""-Austern (19,50€), weder geschmacklich noch von der Substanz befriedigend, da winzig; dem ""Loup de mer"" (26,90€) fehlte der Saft, er wirkte trocken und war im Übrigen ein Grätenmonster, der Spinat wirkte geschmacksneutral, die Bratkartoffeln waren deutlich zu kurz gebraten, kaum Bräunung.","[{'term': 'fine de claires-Austern', 'polarity': 'negative'}, {'term': 'fine de claires-Austern', 'polarity': 'negative'}, {'term': 'Loup de mer', 'polarity': 'negative'}, {'term': 'Spinat', 'polarity': 'negative'}, {'term': 'Bratkartoffeln', 'polarity': 'negative'}]"
1243,Nie wieder.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
1245,Leider ein enttäuschenden Abend .,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
1263,"Die Gaststätte ist sehr gemütlich und hat den Charme, den man sich bei Oma vorstellt.","[{'term': 'Gaststätte', 'polarity': 'positive'}, {'term': 'Charme', 'polarity': 'positive'}]"
1297,"Aber Fernet Branca aus einem Grappaglas, das ist Stilbruch.","[{'term': 'Fernet Branca aus einem Grappaglas', 'polarity': 'negative'}]"
1327,Noch nie so reingelegt worden.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
1334,"Das Essen ist zwar etwas teurer als sonst beim LOC, aber auch um mindestens 2 Klassen besser.","[{'term': 'Essen', 'polarity': 'positive'}]"
1347,Gemütliches und heimeliges Restaurant mit Fleischvariationen und köstlichen Beilagen.,"[{'term': 'Restaurant', 'polarity': 'positive'}, {'term': 'Beilagen', 'polarity': 'positive'}]"
1378,Auch extrawünsche konnten wir problemlos äußern.,"[{'term': 'extrawünsche', 'polarity': 'positive'}]"
1414,Von Mal zu Mal wurde es immer schlechter…doch dieses Wochenende wurde einfach wieder übertroffen.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
1504,"Also bekamen wir nur mit viel Überredungskunst dann doch noch einen Tisch, jedoch war ein Gedeck derart im Durchgang, dass ein ungestörtes Essen unmöglich war.","[{'term': 'noaspectterm', 'polarity': 'negative'}]"
1508,Portionen auch ordentlich.,"[{'term': 'Portionen', 'polarity': 'positive'}]"
1582,Geschmacklich war es okay.,"[{'term': 'noaspectterm', 'polarity': 'neutral'}]"
1605,"Man sitzt bequem, das Essen ist sehr gut, man muss allerdings Fleisch mögen.","[{'term': 'noaspectterm', 'polarity': 'positive'}, {'term': 'Essen', 'polarity': 'positive'}]"
1676,"Super Restaurant, wir hatten das gar nicht erwartet und wollten nur kurz vor dem Starlight Express noch was essen.","[{'term': 'Restaurant', 'polarity': 'positive'}]"
1702,Sehr gutes Essen und ein toller persönlicher Service!,"[{'term': 'Essen', 'polarity': 'positive'}, {'term': 'Service', 'polarity': 'positive'}]"
1716,Ein Lob an Koch.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
1744,"Bedienung sehr freundlich, top!","[{'term': 'Bedienung', 'polarity': 'positive'}]"
1786,Bedienung leider nicht aufmerksam.,"[{'term': 'Bedienung', 'polarity': 'negative'}]"
1832,Wir hatten einen wunderbaren Abend in der oberen Etage des Restaurants.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
