	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.1287	0.8125	0.2222	0.125	104.0
AMBIENCE:NEUTRAL	0.0233	1.0	0.0455	0.0233	43.0
AMBIENCE:POSITIVE	0.4658	0.8095	0.5913	0.4198	81.0
FOOD:NEGATIVE	0.5455	0.7297	0.6243	0.4538	119.0
FOOD:NEUTRAL	0.2778	0.6667	0.3922	0.2439	41.0
FOOD:POSITIVE	0.4731	0.622	0.5374	0.3674	215.0
PRICE:NEGATIVE	0.2375	0.8636	0.3725	0.2289	83.0
PRICE:NEUTRAL	0.0408	1.0	0.0784	0.0408	49.0
PRICE:POSITIVE	1.0	0.8	0.8889	0.8	5.0
GENERAL-IMPRESSION:NEGATIVE	0.2655	0.7692	0.3947	0.2459	122.0
GENERAL-IMPRESSION:NEUTRAL	0.2143	1.0	0.3529	0.2143	14.0
GENERAL-IMPRESSION:POSITIVE	0.1848	0.8125	0.3012	0.1773	220.0
SERVICE:NEGATIVE	0.2994	0.8246	0.4393	0.2814	167.0
SERVICE:NEUTRAL	0.0435	1.0	0.0833	0.0435	23.0
SERVICE:POSITIVE	0.6824	0.7838	0.7296	0.5743	101.0
Micro-AVG	0.3139	0.749	0.4424	0.2841	1387.0
Macro-AVG	0.3255	0.8329	0.4036		1387
