,sentence_id,sentence,target,category,polarity,category_polarity,entailed,start,end
0,10,7/10 fürs Essen .,Essen,food,positive,food positive,yes,10,14
1,10,7/10 fürs Essen .,Essen,food,negative,food negative,no,0,0
2,10,7/10 fürs Essen .,Essen,food,neutral,food neutral,no,0,0
3,12,Bei den Preisen kann man mehr erwarten .,Preisen,price,positive,price positive,no,0,0
4,12,Bei den Preisen kann man mehr erwarten .,Preisen,price,negative,price negative,yes,8,14
5,12,Bei den Preisen kann man mehr erwarten .,Preisen,price,neutral,price neutral,no,0,0
6,14,Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .,Küche,food,positive,food positive,yes,28,32
7,14,Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .,Küche,food,negative,food negative,no,0,0
8,14,Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .,Küche,food,neutral,food neutral,no,0,0
9,14,Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .,Personal,service,positive,service positive,yes,68,75
10,14,Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .,Personal,service,negative,service negative,no,0,0
11,14,Solide und gute Schwäbische Küche und freundliches und aufmerksames Personal .,Personal,service,neutral,service neutral,no,0,0
12,15,"Außerdem sind die Pizzen wirklich groß und es gibt nur die eine Größe , sodass man für die einfachste Pizza schon 9 Euro zahlt .",Pizza,price,positive,price positive,no,0,0
13,15,"Außerdem sind die Pizzen wirklich groß und es gibt nur die eine Größe , sodass man für die einfachste Pizza schon 9 Euro zahlt .",Pizza,price,negative,price negative,yes,102,106
14,15,"Außerdem sind die Pizzen wirklich groß und es gibt nur die eine Größe , sodass man für die einfachste Pizza schon 9 Euro zahlt .",Pizza,price,neutral,price neutral,no,0,0
15,20,"Beilagensalat klein , kaum Dressung und lieblos .",Beilagensalat,food,positive,food positive,no,0,0
16,20,"Beilagensalat klein , kaum Dressung und lieblos .",Beilagensalat,food,negative,food negative,yes,0,12
17,20,"Beilagensalat klein , kaum Dressung und lieblos .",Beilagensalat,food,neutral,food neutral,no,0,0
18,20,"Beilagensalat klein , kaum Dressung und lieblos .",Dressung,food,positive,food positive,no,0,0
19,20,"Beilagensalat klein , kaum Dressung und lieblos .",Dressung,food,negative,food negative,yes,27,34
20,20,"Beilagensalat klein , kaum Dressung und lieblos .",Dressung,food,neutral,food neutral,no,0,0
21,35,"Genau am Martinstag haben wir hier zum zweiten Mal (nach 2021) Gans gegessen - ein riesiger Unterschied : geradezu winzige Portionen und ungeschultes Personal , dafür aber gesalzene Preise [2021 ca .",Portionen,food,positive,food positive,no,0,0
22,35,"Genau am Martinstag haben wir hier zum zweiten Mal (nach 2021) Gans gegessen - ein riesiger Unterschied : geradezu winzige Portionen und ungeschultes Personal , dafür aber gesalzene Preise [2021 ca .",Portionen,food,negative,food negative,yes,123,131
23,35,"Genau am Martinstag haben wir hier zum zweiten Mal (nach 2021) Gans gegessen - ein riesiger Unterschied : geradezu winzige Portionen und ungeschultes Personal , dafür aber gesalzene Preise [2021 ca .",Portionen,food,neutral,food neutral,no,0,0
24,35,"Genau am Martinstag haben wir hier zum zweiten Mal (nach 2021) Gans gegessen - ein riesiger Unterschied : geradezu winzige Portionen und ungeschultes Personal , dafür aber gesalzene Preise [2021 ca .",Personal,service,positive,service positive,no,0,0
25,35,"Genau am Martinstag haben wir hier zum zweiten Mal (nach 2021) Gans gegessen - ein riesiger Unterschied : geradezu winzige Portionen und ungeschultes Personal , dafür aber gesalzene Preise [2021 ca .",Personal,service,negative,service negative,yes,150,157
26,35,"Genau am Martinstag haben wir hier zum zweiten Mal (nach 2021) Gans gegessen - ein riesiger Unterschied : geradezu winzige Portionen und ungeschultes Personal , dafür aber gesalzene Preise [2021 ca .",Personal,service,neutral,service neutral,no,0,0
27,35,"Genau am Martinstag haben wir hier zum zweiten Mal (nach 2021) Gans gegessen - ein riesiger Unterschied : geradezu winzige Portionen und ungeschultes Personal , dafür aber gesalzene Preise [2021 ca .",Preise,price,positive,price positive,no,0,0
28,35,"Genau am Martinstag haben wir hier zum zweiten Mal (nach 2021) Gans gegessen - ein riesiger Unterschied : geradezu winzige Portionen und ungeschultes Personal , dafür aber gesalzene Preise [2021 ca .",Preise,price,negative,price negative,yes,182,187
29,35,"Genau am Martinstag haben wir hier zum zweiten Mal (nach 2021) Gans gegessen - ein riesiger Unterschied : geradezu winzige Portionen und ungeschultes Personal , dafür aber gesalzene Preise [2021 ca .",Preise,price,neutral,price neutral,no,0,0
30,37,"Die Bestuhlung ist recht eng - und ein Zitat kommt zum Tragen : ""und man merkt die Absicht - und man ist verstimmt"" . . . .",Bestuhlung,ambience,positive,ambience positive,no,0,0
31,37,"Die Bestuhlung ist recht eng - und ein Zitat kommt zum Tragen : ""und man merkt die Absicht - und man ist verstimmt"" . . . .",Bestuhlung,ambience,negative,ambience negative,yes,4,13
32,37,"Die Bestuhlung ist recht eng - und ein Zitat kommt zum Tragen : ""und man merkt die Absicht - und man ist verstimmt"" . . . .",Bestuhlung,ambience,neutral,ambience neutral,no,0,0
33,52,Wurde sehr freundlich von Sophie bedient !,Sophie,service,positive,service positive,yes,26,31
34,52,Wurde sehr freundlich von Sophie bedient !,Sophie,service,negative,service negative,no,0,0
35,52,Wurde sehr freundlich von Sophie bedient !,Sophie,service,neutral,service neutral,no,0,0
36,54,"Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .",Preise,price,positive,price positive,yes,45,50
37,54,"Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .",Preise,price,negative,price negative,no,0,0
38,54,"Ansonsten will ich zugute halten , dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind .",Preise,price,neutral,price neutral,no,0,0
39,56,Wir waren an 2 Abende in dieser netten Location und haben mitnetten Freunden ein hervorragendes Menü gegessen .,Menü,food,positive,food positive,yes,96,99
40,56,Wir waren an 2 Abende in dieser netten Location und haben mitnetten Freunden ein hervorragendes Menü gegessen .,Menü,food,negative,food negative,no,0,0
41,56,Wir waren an 2 Abende in dieser netten Location und haben mitnetten Freunden ein hervorragendes Menü gegessen .,Menü,food,neutral,food neutral,no,0,0
42,56,Wir waren an 2 Abende in dieser netten Location und haben mitnetten Freunden ein hervorragendes Menü gegessen .,Location,ambience,positive,ambience positive,yes,39,46
43,56,Wir waren an 2 Abende in dieser netten Location und haben mitnetten Freunden ein hervorragendes Menü gegessen .,Location,ambience,negative,ambience negative,no,0,0
44,56,Wir waren an 2 Abende in dieser netten Location und haben mitnetten Freunden ein hervorragendes Menü gegessen .,Location,ambience,neutral,ambience neutral,no,0,0
45,80,Der LOC bekommt von uns eine sehr gute Bewertung .,LOC,general-impression,positive,general-impression positive,yes,4,6
46,80,Der LOC bekommt von uns eine sehr gute Bewertung .,LOC,general-impression,negative,general-impression negative,no,0,0
47,80,Der LOC bekommt von uns eine sehr gute Bewertung .,LOC,general-impression,neutral,general-impression neutral,no,0,0
48,88,Suppe lauwarm/ wurde aber aufgewärmt war dann gut und lecker .,Suppe,food,positive,food positive,yes,0,4
49,88,Suppe lauwarm/ wurde aber aufgewärmt war dann gut und lecker .,Suppe,food,negative,food negative,no,0,0
50,88,Suppe lauwarm/ wurde aber aufgewärmt war dann gut und lecker .,Suppe,food,neutral,food neutral,no,0,0
51,102,Hauptspeise eine riesige Enttäuschung .,Hauptspeise,food,positive,food positive,no,0,0
52,102,Hauptspeise eine riesige Enttäuschung .,Hauptspeise,food,negative,food negative,yes,0,10
53,102,Hauptspeise eine riesige Enttäuschung .,Hauptspeise,food,neutral,food neutral,no,0,0
54,105,Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert .,Speisen,food,positive,food positive,yes,4,10
55,105,Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert .,Speisen,food,negative,food negative,no,0,0
56,105,Die Speisen waren geschmackvoll zubereitet und wurden trotz hohem Gästeaufkommens zeitnah serviert .,Speisen,food,neutral,food neutral,no,0,0
57,115,"Vom Ambiente her natürlich toll , RESTAURANT_NAME eben , alles sehr sauber . . . aber der Empfang war mehr als unfreundlich , der Kellner am Tisch dafür wieder sehr aber nachdem wir von zwei servicekräften sehr unfreundlich begrüßt wurden wären wir fast wieder gegangen , essen war dann leider auch nicht toll , die Burger , waren sehr trocken , würden nicht nochmal wieder kommen . . . leider",Ambiente,ambience,positive,ambience positive,yes,4,11
58,115,"Vom Ambiente her natürlich toll , RESTAURANT_NAME eben , alles sehr sauber . . . aber der Empfang war mehr als unfreundlich , der Kellner am Tisch dafür wieder sehr aber nachdem wir von zwei servicekräften sehr unfreundlich begrüßt wurden wären wir fast wieder gegangen , essen war dann leider auch nicht toll , die Burger , waren sehr trocken , würden nicht nochmal wieder kommen . . . leider",Ambiente,ambience,negative,ambience negative,no,0,0
59,115,"Vom Ambiente her natürlich toll , RESTAURANT_NAME eben , alles sehr sauber . . . aber der Empfang war mehr als unfreundlich , der Kellner am Tisch dafür wieder sehr aber nachdem wir von zwei servicekräften sehr unfreundlich begrüßt wurden wären wir fast wieder gegangen , essen war dann leider auch nicht toll , die Burger , waren sehr trocken , würden nicht nochmal wieder kommen . . . leider",Ambiente,ambience,neutral,ambience neutral,no,0,0
60,115,"Vom Ambiente her natürlich toll , RESTAURANT_NAME eben , alles sehr sauber . . . aber der Empfang war mehr als unfreundlich , der Kellner am Tisch dafür wieder sehr aber nachdem wir von zwei servicekräften sehr unfreundlich begrüßt wurden wären wir fast wieder gegangen , essen war dann leider auch nicht toll , die Burger , waren sehr trocken , würden nicht nochmal wieder kommen . . . leider",Empfang,service,positive,service positive,no,0,0
61,115,"Vom Ambiente her natürlich toll , RESTAURANT_NAME eben , alles sehr sauber . . . aber der Empfang war mehr als unfreundlich , der Kellner am Tisch dafür wieder sehr aber nachdem wir von zwei servicekräften sehr unfreundlich begrüßt wurden wären wir fast wieder gegangen , essen war dann leider auch nicht toll , die Burger , waren sehr trocken , würden nicht nochmal wieder kommen . . . leider",Empfang,service,negative,service negative,yes,90,96
